Total Nacional;Comunidades y Ciudades Autónomas;Edades;Sexo;Periodo;Total
Total Nacional;03 Asturias, Principado de;De 90 a 94 años;Hombres;2018;0,000
Total Nacional;03 Asturias, Principado de;De 90 a 94 años;Mujeres;2021;9,176
Total Nacional;03 Asturias, Principado de;De 90 a 94 años;Mujeres;2020;0,000
Total Nacional;03 Asturias, Principado de;De 90 a 94 años;Mujeres;2019;0,000
Total Nacional;03 Asturias, Principado de;De 90 a 94 años;Mujeres;2018;0,000
Total Nacional;03 Asturias, Principado de;95 y más años;Total;2021;0,000
Total Nacional;03 Asturias, Principado de;95 y más años;Total;2020;0,000
Total Nacional;03 Asturias, Principado de;95 y más años;Total;2019;0,000
Total Nacional;03 Asturias, Principado de;95 y más años;Total;2018;0,000
Total Nacional;03 Asturias, Principado de;95 y más años;Hombres;2021;0,000
Total Nacional;03 Asturias, Principado de;95 y más años;Hombres;2020;0,000
Total Nacional;03 Asturias, Principado de;95 y más años;Hombres;2019;0,000
Total Nacional;03 Asturias, Principado de;95 y más años;Hombres;2018;0,000
Total Nacional;03 Asturias, Principado de;95 y más años;Mujeres;2021;0,000
Total Nacional;03 Asturias, Principado de;95 y más años;Mujeres;2020;0,000
Total Nacional;03 Asturias, Principado de;95 y más años;Mujeres;2019;0,000
Total Nacional;03 Asturias, Principado de;95 y más años;Mujeres;2018;0,000
Total Nacional;04 Balears, Illes;Todas las edades;Total;2021;4,063
Total Nacional;04 Balears, Illes;Todas las edades;Total;2020;2,963
Total Nacional;04 Balears, Illes;Todas las edades;Total;2019;4,173
Total Nacional;04 Balears, Illes;Todas las edades;Total;2018;3,657
Total Nacional;04 Balears, Illes;Todas las edades;Hombres;2021;6,955
Total Nacional;04 Balears, Illes;Todas las edades;Hombres;2020;5,264
Total Nacional;04 Balears, Illes;Todas las edades;Hombres;2019;6,673
Total Nacional;04 Balears, Illes;Todas las edades;Hombres;2018;5,612
Total Nacional;04 Balears, Illes;Todas las edades;Mujeres;2021;1,183
Total Nacional;04 Balears, Illes;Todas las edades;Mujeres;2020;0,659
Total Nacional;04 Balears, Illes;Todas las edades;Mujeres;2019;1,670
Total Nacional;04 Balears, Illes;Todas las edades;Mujeres;2018;1,701
Total Nacional;04 Balears, Illes;Menores de 1 año;Total;2021;0,000
Total Nacional;04 Balears, Illes;Menores de 1 año;Total;2020;0,000
Total Nacional;04 Balears, Illes;Menores de 1 año;Total;2019;0,000
Total Nacional;04 Balears, Illes;Menores de 1 año;Total;2018;0,000
Total Nacional;04 Balears, Illes;Menores de 1 año;Hombres;2021;0,000
Total Nacional;04 Balears, Illes;Menores de 1 año;Hombres;2020;0,000
Total Nacional;04 Balears, Illes;Menores de 1 año;Hombres;2019;0,000
Total Nacional;04 Balears, Illes;Menores de 1 año;Hombres;2018;0,000
Total Nacional;04 Balears, Illes;Menores de 1 año;Mujeres;2021;0,000
Total Nacional;04 Balears, Illes;Menores de 1 año;Mujeres;2020;0,000
Total Nacional;04 Balears, Illes;Menores de 1 año;Mujeres;2019;0,000
Total Nacional;04 Balears, Illes;Menores de 1 año;Mujeres;2018;0,000
Total Nacional;04 Balears, Illes;De 1 a 14 años;Total;2021;0,000
Total Nacional;04 Balears, Illes;De 1 a 14 años;Total;2020;0,000
Total Nacional;04 Balears, Illes;De 1 a 14 años;Total;2019;0,000
Total Nacional;04 Balears, Illes;De 1 a 14 años;Total;2018;0,000
Total Nacional;04 Balears, Illes;De 1 a 14 años;Hombres;2021;0,000
Total Nacional;04 Balears, Illes;De 1 a 14 años;Hombres;2020;0,000
Total Nacional;04 Balears, Illes;De 1 a 14 años;Hombres;2019;0,000
Total Nacional;04 Balears, Illes;De 1 a 14 años;Hombres;2018;0,000
Total Nacional;04 Balears, Illes;De 1 a 14 años;Mujeres;2021;0,000
Total Nacional;04 Balears, Illes;De 1 a 14 años;Mujeres;2020;0,000
Total Nacional;04 Balears, Illes;De 1 a 14 años;Mujeres;2019;0,000
Total Nacional;04 Balears, Illes;De 1 a 14 años;Mujeres;2018;0,000
Total Nacional;04 Balears, Illes;De 15 a 29 años;Total;2021;7,244
Total Nacional;04 Balears, Illes;De 15 a 29 años;Total;2020;1,516
Total Nacional;04 Balears, Illes;De 15 a 29 años;Total;2019;7,183
Total Nacional;04 Balears, Illes;De 15 a 29 años;Total;2018;6,321
Total Nacional;04 Balears, Illes;De 15 a 29 años;Hombres;2021;12,182
Total Nacional;04 Balears, Illes;De 15 a 29 años;Hombres;2020;2,974
Total Nacional;04 Balears, Illes;De 15 a 29 años;Hombres;2019;11,104
Total Nacional;04 Balears, Illes;De 15 a 29 años;Hombres;2018;8,321
Total Nacional;04 Balears, Illes;De 15 a 29 años;Mujeres;2021;2,111
Total Nacional;04 Balears, Illes;De 15 a 29 años;Mujeres;2020;0,000
Total Nacional;04 Balears, Illes;De 15 a 29 años;Mujeres;2019;3,130
Total Nacional;04 Balears, Illes;De 15 a 29 años;Mujeres;2018;4,269
Total Nacional;04 Balears, Illes;De 30 a 39 años;Total;2021;3,421
Total Nacional;04 Balears, Illes;De 30 a 39 años;Total;2020;2,691
Total Nacional;04 Balears, Illes;De 30 a 39 años;Total;2019;3,731
Total Nacional;04 Balears, Illes;De 30 a 39 años;Total;2018;4,245
Total Nacional;04 Balears, Illes;De 30 a 39 años;Hombres;2021;5,655
Total Nacional;04 Balears, Illes;De 30 a 39 años;Hombres;2020;4,286
Total Nacional;04 Balears, Illes;De 30 a 39 años;Hombres;2019;5,300
Total Nacional;04 Balears, Illes;De 30 a 39 años;Hombres;2018;6,327
Total Nacional;04 Balears, Illes;De 30 a 39 años;Mujeres;2021;1,150
Total Nacional;04 Balears, Illes;De 30 a 39 años;Mujeres;2020;1,081
Total Nacional;04 Balears, Illes;De 30 a 39 años;Mujeres;2019;2,144
Total Nacional;04 Balears, Illes;De 30 a 39 años;Mujeres;2018;2,136
Total Nacional;04 Balears, Illes;De 40 a 44 años;Total;2021;1,912
Total Nacional;04 Balears, Illes;De 40 a 44 años;Total;2020;5,459
Total Nacional;04 Balears, Illes;De 40 a 44 años;Total;2019;2,739
Total Nacional;04 Balears, Illes;De 40 a 44 años;Total;2018;5,555
Total Nacional;04 Balears, Illes;De 40 a 44 años;Hombres;2021;3,721
Total Nacional;04 Balears, Illes;De 40 a 44 años;Hombres;2020;8,795
Total Nacional;04 Balears, Illes;De 40 a 44 años;Hombres;2019;5,272
Total Nacional;04 Balears, Illes;De 40 a 44 años;Hombres;2018;8,879
Total Nacional;04 Balears, Illes;De 40 a 44 años;Mujeres;2021;0,000
Total Nacional;04 Balears, Illes;De 40 a 44 años;Mujeres;2020;1,884
Total Nacional;04 Balears, Illes;De 40 a 44 años;Mujeres;2019;0,000
Total Nacional;04 Balears, Illes;De 40 a 44 años;Mujeres;2018;1,934
Total Nacional;04 Balears, Illes;De 45 a 49 años;Total;2021;3,854
Total Nacional;04 Balears, Illes;De 45 a 49 años;Total;2020;3,785
Total Nacional;04 Balears, Illes;De 45 a 49 años;Total;2019;2,923
Total Nacional;04 Balears, Illes;De 45 a 49 años;Total;2018;4,030
Total Nacional;04 Balears, Illes;De 45 a 49 años;Hombres;2021;7,412
Total Nacional;04 Balears, Illes;De 45 a 49 años;Hombres;2020;5,457
Total Nacional;04 Balears, Illes;De 45 a 49 años;Hombres;2019;5,620
Total Nacional;04 Balears, Illes;De 45 a 49 años;Hombres;2018;7,755
Total Nacional;04 Balears, Illes;De 45 a 49 años;Mujeres;2021;0,000
Total Nacional;04 Balears, Illes;De 45 a 49 años;Mujeres;2020;1,973
Total Nacional;04 Balears, Illes;De 45 a 49 años;Mujeres;2019;0,000
Total Nacional;04 Balears, Illes;De 45 a 49 años;Mujeres;2018;0,000
Total Nacional;04 Balears, Illes;De 50 a 54 años;Total;2021;8,667
Total Nacional;04 Balears, Illes;De 50 a 54 años;Total;2020;2,140
Total Nacional;04 Balears, Illes;De 50 a 54 años;Total;2019;4,377
Total Nacional;04 Balears, Illes;De 50 a 54 años;Total;2018;4,490
Total Nacional;04 Balears, Illes;De 50 a 54 años;Hombres;2021;14,820
Total Nacional;04 Balears, Illes;De 50 a 54 años;Hombres;2020;4,175
Total Nacional;04 Balears, Illes;De 50 a 54 años;Hombres;2019;8,552
Total Nacional;04 Balears, Illes;De 50 a 54 años;Hombres;2018;8,785
Total Nacional;04 Balears, Illes;De 50 a 54 años;Mujeres;2021;2,219
Total Nacional;04 Balears, Illes;De 50 a 54 años;Mujeres;2020;0,000
Total Nacional;04 Balears, Illes;De 50 a 54 años;Mujeres;2019;0,000
Total Nacional;04 Balears, Illes;De 50 a 54 años;Mujeres;2018;0,000
Total Nacional;04 Balears, Illes;De 55 a 59 años;Total;2021;1,233
Total Nacional;04 Balears, Illes;De 55 a 59 años;Total;2020;6,108
Total Nacional;04 Balears, Illes;De 55 a 59 años;Total;2019;3,793
Total Nacional;04 Balears, Illes;De 55 a 59 años;Total;2018;2,630
Total Nacional;04 Balears, Illes;De 55 a 59 años;Hombres;2021;0,000
Total Nacional;04 Balears, Illes;De 55 a 59 años;Hombres;2020;12,159
Total Nacional;04 Balears, Illes;De 55 a 59 años;Hombres;2019;5,042
Total Nacional;04 Balears, Illes;De 55 a 59 años;Hombres;2018;5,253
Total Nacional;04 Balears, Illes;De 55 a 59 años;Mujeres;2021;2,464
Total Nacional;04 Balears, Illes;De 55 a 59 años;Mujeres;2020;0,000
Total Nacional;04 Balears, Illes;De 55 a 59 años;Mujeres;2019;2,537
Total Nacional;04 Balears, Illes;De 55 a 59 años;Mujeres;2018;0,000
Total Nacional;04 Balears, Illes;De 60 a 64 años;Total;2021;8,808
Total Nacional;04 Balears, Illes;De 60 a 64 años;Total;2020;2,914
Total Nacional;04 Balears, Illes;De 60 a 64 años;Total;2019;3,036
Total Nacional;04 Balears, Illes;De 60 a 64 años;Total;2018;6,297
Total Nacional;04 Balears, Illes;De 60 a 64 años;Hombres;2021;18,040
Total Nacional;04 Balears, Illes;De 60 a 64 años;Hombres;2020;5,952
Total Nacional;04 Balears, Illes;De 60 a 64 años;Hombres;2019;6,221
Total Nacional;04 Balears, Illes;De 60 a 64 años;Hombres;2018;12,910
Total Nacional;04 Balears, Illes;De 60 a 64 años;Mujeres;2021;0,000
Total Nacional;04 Balears, Illes;De 60 a 64 años;Mujeres;2020;0,000
Total Nacional;04 Balears, Illes;De 60 a 64 años;Mujeres;2019;0,000
Total Nacional;04 Balears, Illes;De 60 a 64 años;Mujeres;2018;0,000
Total Nacional;04 Balears, Illes;De 65 a 69 años;Total;2021;5,366
Total Nacional;04 Balears, Illes;De 65 a 69 años;Total;2020;3,533
Total Nacional;04 Balears, Illes;De 65 a 69 años;Total;2019;3,622
Total Nacional;04 Balears, Illes;De 65 a 69 años;Total;2018;3,663
Total Nacional;04 Balears, Illes;De 65 a 69 años;Hombres;2021;11,124
Total Nacional;04 Balears, Illes;De 65 a 69 años;Hombres;2020;7,288
Total Nacional;04 Balears, Illes;De 65 a 69 años;Hombres;2019;3,726
Total Nacional;04 Balears, Illes;De 65 a 69 años;Hombres;2018;3,770
Total Nacional;04 Balears, Illes;De 65 a 69 años;Mujeres;2021;0,000
Total Nacional;04 Balears, Illes;De 65 a 69 años;Mujeres;2020;0,000
Total Nacional;04 Balears, Illes;De 65 a 69 años;Mujeres;2019;3,524
Total Nacional;04 Balears, Illes;De 65 a 69 años;Mujeres;2018;3,562
Total Nacional;04 Balears, Illes;De 70 a 74 años;Total;2021;0,000
Total Nacional;04 Balears, Illes;De 70 a 74 años;Total;2020;2,035
Total Nacional;04 Balears, Illes;De 70 a 74 años;Total;2019;4,140
Total Nacional;04 Balears, Illes;De 70 a 74 años;Total;2018;4,266
Total Nacional;04 Balears, Illes;De 70 a 74 años;Hombres;2021;0,000
Total Nacional;04 Balears, Illes;De 70 a 74 años;Hombres;2020;0,000
Total Nacional;04 Balears, Illes;De 70 a 74 años;Hombres;2019;4,369
Total Nacional;04 Balears, Illes;De 70 a 74 años;Hombres;2018;4,500
Total Nacional;04 Balears, Illes;De 70 a 74 años;Mujeres;2021;0,000
Total Nacional;04 Balears, Illes;De 70 a 74 años;Mujeres;2020;3,853
Total Nacional;04 Balears, Illes;De 70 a 74 años;Mujeres;2019;3,934
Total Nacional;04 Balears, Illes;De 70 a 74 años;Mujeres;2018;4,055
Total Nacional;04 Balears, Illes;De 75 a 79 años;Total;2021;2,712
Total Nacional;04 Balears, Illes;De 75 a 79 años;Total;2020;8,073
Total Nacional;04 Balears, Illes;De 75 a 79 años;Total;2019;8,515
Total Nacional;04 Balears, Illes;De 75 a 79 años;Total;2018;6,090
Total Nacional;04 Balears, Illes;De 75 a 79 años;Hombres;2021;5,941
Total Nacional;04 Balears, Illes;De 75 a 79 años;Hombres;2020;17,570
Total Nacional;04 Balears, Illes;De 75 a 79 años;Hombres;2019;6,169
Total Nacional;04 Balears, Illes;De 75 a 79 años;Hombres;2018;13,225
Total Nacional;04 Balears, Illes;De 75 a 79 años;Mujeres;2021;0,000
Total Nacional;04 Balears, Illes;De 75 a 79 años;Mujeres;2020;0,000
Total Nacional;04 Balears, Illes;De 75 a 79 años;Mujeres;2019;10,515
Total Nacional;04 Balears, Illes;De 75 a 79 años;Mujeres;2018;0,000
Total Nacional;04 Balears, Illes;De 80 a 84 años;Total;2021;8,314
Total Nacional;04 Balears, Illes;De 80 a 84 años;Total;2020;7,940
Total Nacional;04 Balears, Illes;De 80 a 84 años;Total;2019;19,983
Total Nacional;04 Balears, Illes;De 80 a 84 años;Total;2018;3,919
Total Nacional;04 Balears, Illes;De 80 a 84 años;Hombres;2021;9,848
Total Nacional;04 Balears, Illes;De 80 a 84 años;Hombres;2020;18,765
Total Nacional;04 Balears, Illes;De 80 a 84 años;Hombres;2019;47,806
Total Nacional;04 Balears, Illes;De 80 a 84 años;Hombres;2018;0,000
Total Nacional;04 Balears, Illes;De 80 a 84 años;Mujeres;2021;7,193
Total Nacional;04 Balears, Illes;De 80 a 84 años;Mujeres;2020;0,000
Total Nacional;04 Balears, Illes;De 80 a 84 años;Mujeres;2019;0,000
Total Nacional;04 Balears, Illes;De 80 a 84 años;Mujeres;2018;6,740
Total Nacional;04 Balears, Illes;De 85 a 89 años;Total;2021;5,778
Total Nacional;04 Balears, Illes;De 85 a 89 años;Total;2020;5,707
Total Nacional;04 Balears, Illes;De 85 a 89 años;Total;2019;5,877
Total Nacional;04 Balears, Illes;De 85 a 89 años;Total;2018;0,000
Total Nacional;04 Balears, Illes;De 85 a 89 años;Hombres;2021;0,000
Total Nacional;04 Balears, Illes;De 85 a 89 años;Hombres;2020;15,247
Total Nacional;04 Balears, Illes;De 85 a 89 años;Hombres;2019;16,022
Total Nacional;04 Balears, Illes;De 85 a 89 años;Hombres;2018;0,000
Total Nacional;04 Balears, Illes;De 85 a 89 años;Mujeres;2021;9,129
Total Nacional;04 Balears, Illes;De 85 a 89 años;Mujeres;2020;0,000
Total Nacional;04 Balears, Illes;De 85 a 89 años;Mujeres;2019;0,000
Total Nacional;04 Balears, Illes;De 85 a 89 años;Mujeres;2018;0,000
Total Nacional;04 Balears, Illes;De 90 a 94 años;Total;2021;0,000
Total Nacional;04 Balears, Illes;De 90 a 94 años;Total;2020;0,000
Total Nacional;04 Balears, Illes;De 90 a 94 años;Total;2019;13,409
Total Nacional;04 Balears, Illes;De 90 a 94 años;Total;2018;0,000
Total Nacional;04 Balears, Illes;De 90 a 94 años;Hombres;2021;0,000
Total Nacional;04 Balears, Illes;De 90 a 94 años;Hombres;2020;0,000
Total Nacional;04 Balears, Illes;De 90 a 94 años;Hombres;2019;43,620
Total Nacional;04 Balears, Illes;De 90 a 94 años;Hombres;2018;0,000
Total Nacional;04 Balears, Illes;De 90 a 94 años;Mujeres;2021;0,000
Total Nacional;04 Balears, Illes;De 90 a 94 años;Mujeres;2020;0,000
Total Nacional;04 Balears, Illes;De 90 a 94 años;Mujeres;2019;0,000
Total Nacional;04 Balears, Illes;De 90 a 94 años;Mujeres;2018;0,000
Total Nacional;04 Balears, Illes;95 y más años;Total;2021;0,000
Total Nacional;04 Balears, Illes;95 y más años;Total;2020;0,000
Total Nacional;04 Balears, Illes;95 y más años;Total;2019;0,000
Total Nacional;04 Balears, Illes;95 y más años;Total;2018;0,000
Total Nacional;04 Balears, Illes;95 y más años;Hombres;2021;0,000
Total Nacional;04 Balears, Illes;95 y más años;Hombres;2020;0,000
Total Nacional;04 Balears, Illes;95 y más años;Hombres;2019;0,000
Total Nacional;04 Balears, Illes;95 y más años;Hombres;2018;0,000
Total Nacional;04 Balears, Illes;95 y más años;Mujeres;2021;0,000
Total Nacional;04 Balears, Illes;95 y más años;Mujeres;2020;0,000
Total Nacional;04 Balears, Illes;95 y más años;Mujeres;2019;0,000
Total Nacional;04 Balears, Illes;95 y más años;Mujeres;2018;0,000
Total Nacional;05 Canarias;Todas las edades;Total;2021;2,478
Total Nacional;05 Canarias;Todas las edades;Total;2020;2,005
Total Nacional;05 Canarias;Todas las edades;Total;2019;2,702
Total Nacional;05 Canarias;Todas las edades;Total;2018;2,285
Total Nacional;05 Canarias;Todas las edades;Hombres;2021;4,456
Total Nacional;05 Canarias;Todas las edades;Hombres;2020;3,418
Total Nacional;05 Canarias;Todas las edades;Hombres;2019;4,269
Total Nacional;05 Canarias;Todas las edades;Hombres;2018;3,131
Total Nacional;05 Canarias;Todas las edades;Mujeres;2021;0,545
Total Nacional;05 Canarias;Todas las edades;Mujeres;2020;0,618
Total Nacional;05 Canarias;Todas las edades;Mujeres;2019;1,161
Total Nacional;05 Canarias;Todas las edades;Mujeres;2018;1,451
Total Nacional;05 Canarias;Menores de 1 año;Total;2021;0,000
Total Nacional;05 Canarias;Menores de 1 año;Total;2020;0,000
Total Nacional;05 Canarias;Menores de 1 año;Total;2019;0,000
Total Nacional;05 Canarias;Menores de 1 año;Total;2018;0,000
Total Nacional;05 Canarias;Menores de 1 año;Hombres;2021;0,000
Total Nacional;05 Canarias;Menores de 1 año;Hombres;2020;0,000
Total Nacional;05 Canarias;Menores de 1 año;Hombres;2019;0,000
Total Nacional;05 Canarias;Menores de 1 año;Hombres;2018;0,000
Total Nacional;05 Canarias;Menores de 1 año;Mujeres;2021;0,000
Total Nacional;05 Canarias;Menores de 1 año;Mujeres;2020;0,000
Total Nacional;05 Canarias;Menores de 1 año;Mujeres;2019;0,000
Total Nacional;05 Canarias;Menores de 1 año;Mujeres;2018;0,000
Total Nacional;05 Canarias;De 1 a 14 años;Total;2021;0,388
Total Nacional;05 Canarias;De 1 a 14 años;Total;2020;0,000
Total Nacional;05 Canarias;De 1 a 14 años;Total;2019;0,364
Total Nacional;05 Canarias;De 1 a 14 años;Total;2018;0,361
Total Nacional;05 Canarias;De 1 a 14 años;Hombres;2021;0,755
Total Nacional;05 Canarias;De 1 a 14 años;Hombres;2020;0,000
Total Nacional;05 Canarias;De 1 a 14 años;Hombres;2019;0,709
Total Nacional;05 Canarias;De 1 a 14 años;Hombres;2018;0,703
Total Nacional;05 Canarias;De 1 a 14 años;Mujeres;2021;0,000
Total Nacional;05 Canarias;De 1 a 14 años;Mujeres;2020;0,000
Total Nacional;05 Canarias;De 1 a 14 años;Mujeres;2019;0,000
Total Nacional;05 Canarias;De 1 a 14 años;Mujeres;2018;0,000
Total Nacional;05 Canarias;De 15 a 29 años;Total;2021;3,333
Total Nacional;05 Canarias;De 15 a 29 años;Total;2020;0,808
Total Nacional;05 Canarias;De 15 a 29 años;Total;2019;2,448
Total Nacional;05 Canarias;De 15 a 29 años;Total;2018;2,211
Total Nacional;05 Canarias;De 15 a 29 años;Hombres;2021;6,042
Total Nacional;05 Canarias;De 15 a 29 años;Hombres;2020;1,602
Total Nacional;05 Canarias;De 15 a 29 años;Hombres;2019;4,313
Total Nacional;05 Canarias;De 15 a 29 años;Hombres;2018;3,838
Total Nacional;05 Canarias;De 15 a 29 años;Mujeres;2021;0,562
Total Nacional;05 Canarias;De 15 a 29 años;Mujeres;2020;0,000
Total Nacional;05 Canarias;De 15 a 29 años;Mujeres;2019;0,549
Total Nacional;05 Canarias;De 15 a 29 años;Mujeres;2018;0,557
Total Nacional;05 Canarias;De 30 a 39 años;Total;2021;3,019
Total Nacional;05 Canarias;De 30 a 39 años;Total;2020;3,150
Total Nacional;05 Canarias;De 30 a 39 años;Total;2019;3,109
Total Nacional;05 Canarias;De 30 a 39 años;Total;2018;1,231
Total Nacional;05 Canarias;De 30 a 39 años;Hombres;2021;6,073
Total Nacional;05 Canarias;De 30 a 39 años;Hombres;2020;5,085
Total Nacional;05 Canarias;De 30 a 39 años;Hombres;2019;5,017
Total Nacional;05 Canarias;De 30 a 39 años;Hombres;2018;1,862
Total Nacional;05 Canarias;De 30 a 39 años;Mujeres;2021;0,000
Total Nacional;05 Canarias;De 30 a 39 años;Mujeres;2020;1,249
Total Nacional;05 Canarias;De 30 a 39 años;Mujeres;2019;1,233
Total Nacional;05 Canarias;De 30 a 39 años;Mujeres;2018;0,611
Total Nacional;05 Canarias;De 40 a 44 años;Total;2021;1,091
Total Nacional;05 Canarias;De 40 a 44 años;Total;2020;1,038
Total Nacional;05 Canarias;De 40 a 44 años;Total;2019;3,603
Total Nacional;05 Canarias;De 40 a 44 años;Total;2018;1,537
Total Nacional;05 Canarias;De 40 a 44 años;Hombres;2021;2,165
Total Nacional;05 Canarias;De 40 a 44 años;Hombres;2020;2,054
Total Nacional;05 Canarias;De 40 a 44 años;Hombres;2019;6,077
Total Nacional;05 Canarias;De 40 a 44 años;Hombres;2018;2,009
Total Nacional;05 Canarias;De 40 a 44 años;Mujeres;2021;0,000
Total Nacional;05 Canarias;De 40 a 44 años;Mujeres;2020;0,000
Total Nacional;05 Canarias;De 40 a 44 años;Mujeres;2019;1,047
Total Nacional;05 Canarias;De 40 a 44 años;Mujeres;2018;1,046
Total Nacional;05 Canarias;De 45 a 49 años;Total;2021;1,518
Total Nacional;05 Canarias;De 45 a 49 años;Total;2020;1,470
Total Nacional;05 Canarias;De 45 a 49 años;Total;2019;2,473
Total Nacional;05 Canarias;De 45 a 49 años;Total;2018;2,523
Total Nacional;05 Canarias;De 45 a 49 años;Hombres;2021;2,984
Total Nacional;05 Canarias;De 45 a 49 años;Hombres;2020;2,885
Total Nacional;05 Canarias;De 45 a 49 años;Hombres;2019;3,880
Total Nacional;05 Canarias;De 45 a 49 años;Hombres;2018;2,965
Total Nacional;05 Canarias;De 45 a 49 años;Mujeres;2021;0,000
Total Nacional;05 Canarias;De 45 a 49 años;Mujeres;2020;0,000
Total Nacional;05 Canarias;De 45 a 49 años;Mujeres;2019;1,009
Total Nacional;05 Canarias;De 45 a 49 años;Mujeres;2018;2,062
Total Nacional;05 Canarias;De 50 a 54 años;Total;2021;3,163
Total Nacional;05 Canarias;De 50 a 54 años;Total;2020;1,563
Total Nacional;05 Canarias;De 50 a 54 años;Total;2019;4,770
Total Nacional;05 Canarias;De 50 a 54 años;Total;2018;1,081
Total Nacional;05 Canarias;De 50 a 54 años;Hombres;2021;6,265
Total Nacional;05 Canarias;De 50 a 54 años;Hombres;2020;3,091
Total Nacional;05 Canarias;De 50 a 54 años;Hombres;2019;8,384
Total Nacional;05 Canarias;De 50 a 54 años;Hombres;2018;1,067
Total Nacional;05 Canarias;De 50 a 54 años;Mujeres;2021;0,000
Total Nacional;05 Canarias;De 50 a 54 años;Mujeres;2020;0,000
Total Nacional;05 Canarias;De 50 a 54 años;Mujeres;2019;1,072
Total Nacional;05 Canarias;De 50 a 54 años;Mujeres;2018;1,095
Total Nacional;05 Canarias;De 55 a 59 años;Total;2021;1,154
Total Nacional;05 Canarias;De 55 a 59 años;Total;2020;5,807
Total Nacional;05 Canarias;De 55 a 59 años;Total;2019;1,829
Total Nacional;05 Canarias;De 55 a 59 años;Total;2018;5,162
Total Nacional;05 Canarias;De 55 a 59 años;Hombres;2021;1,159
Total Nacional;05 Canarias;De 55 a 59 años;Hombres;2020;9,303
Total Nacional;05 Canarias;De 55 a 59 años;Hombres;2019;2,441
Total Nacional;05 Canarias;De 55 a 59 años;Hombres;2018;5,172
Total Nacional;05 Canarias;De 55 a 59 años;Mujeres;2021;1,148
Total Nacional;05 Canarias;De 55 a 59 años;Mujeres;2020;2,319
Total Nacional;05 Canarias;De 55 a 59 años;Mujeres;2019;1,218
Total Nacional;05 Canarias;De 55 a 59 años;Mujeres;2018;5,153
Total Nacional;05 Canarias;De 60 a 64 años;Total;2021;2,914
Total Nacional;05 Canarias;De 60 a 64 años;Total;2020;2,220
Total Nacional;05 Canarias;De 60 a 64 años;Total;2019;2,315
Total Nacional;05 Canarias;De 60 a 64 años;Total;2018;2,406
Total Nacional;05 Canarias;De 60 a 64 años;Hombres;2021;4,441
Total Nacional;05 Canarias;De 60 a 64 años;Hombres;2020;2,996
Total Nacional;05 Canarias;De 60 a 64 años;Hombres;2019;3,127
Total Nacional;05 Canarias;De 60 a 64 años;Hombres;2018;3,255
Total Nacional;05 Canarias;De 60 a 64 años;Mujeres;2021;1,434
Total Nacional;05 Canarias;De 60 a 64 años;Mujeres;2020;1,463
Total Nacional;05 Canarias;De 60 a 64 años;Mujeres;2019;1,524
Total Nacional;05 Canarias;De 60 a 64 años;Mujeres;2018;1,581
Total Nacional;05 Canarias;De 65 a 69 años;Total;2021;4,482
Total Nacional;05 Canarias;De 65 a 69 años;Total;2020;1,784
Total Nacional;05 Canarias;De 65 a 69 años;Total;2019;4,605
Total Nacional;05 Canarias;De 65 a 69 años;Total;2018;3,802
Total Nacional;05 Canarias;De 65 a 69 años;Hombres;2021;9,267
Total Nacional;05 Canarias;De 65 a 69 años;Hombres;2020;3,681
Total Nacional;05 Canarias;De 65 a 69 años;Hombres;2019;7,584
Total Nacional;05 Canarias;De 65 a 69 años;Hombres;2018;5,844
Total Nacional;05 Canarias;De 65 a 69 años;Mujeres;2021;0,000
Total Nacional;05 Canarias;De 65 a 69 años;Mujeres;2020;0,000
Total Nacional;05 Canarias;De 65 a 69 años;Mujeres;2019;1,791
Total Nacional;05 Canarias;De 65 a 69 años;Mujeres;2018;1,856
Total Nacional;05 Canarias;De 70 a 74 años;Total;2021;3,306
Total Nacional;05 Canarias;De 70 a 74 años;Total;2020;2,155
Total Nacional;05 Canarias;De 70 a 74 años;Total;2019;3,303
Total Nacional;05 Canarias;De 70 a 74 años;Total;2018;4,518
Total Nacional;05 Canarias;De 70 a 74 años;Hombres;2021;4,655
Total Nacional;05 Canarias;De 70 a 74 años;Hombres;2020;4,538
Total Nacional;05 Canarias;De 70 a 74 años;Hombres;2019;2,318
Total Nacional;05 Canarias;De 70 a 74 años;Hombres;2018;4,761
Total Nacional;05 Canarias;De 70 a 74 años;Mujeres;2021;2,092
Total Nacional;05 Canarias;De 70 a 74 años;Mujeres;2020;0,000
Total Nacional;05 Canarias;De 70 a 74 años;Mujeres;2019;4,193
Total Nacional;05 Canarias;De 70 a 74 años;Mujeres;2018;4,299
Total Nacional;05 Canarias;De 75 a 79 años;Total;2021;2,792
Total Nacional;05 Canarias;De 75 a 79 años;Total;2020;1,377
Total Nacional;05 Canarias;De 75 a 79 años;Total;2019;1,454
Total Nacional;05 Canarias;De 75 a 79 años;Total;2018;6,188
Total Nacional;05 Canarias;De 75 a 79 años;Hombres;2021;6,128
Total Nacional;05 Canarias;De 75 a 79 años;Hombres;2020;3,001
Total Nacional;05 Canarias;De 75 a 79 años;Hombres;2019;3,175
Total Nacional;05 Canarias;De 75 a 79 años;Hombres;2018;6,782
Total Nacional;05 Canarias;De 75 a 79 años;Mujeres;2021;0,000
Total Nacional;05 Canarias;De 75 a 79 años;Mujeres;2020;0,000
Total Nacional;05 Canarias;De 75 a 79 años;Mujeres;2019;0,000
Total Nacional;05 Canarias;De 75 a 79 años;Mujeres;2018;5,690
