Total Nacional;Comunidades y Ciudades Autónomas;Edades;Sexo;Periodo;Total
Total Nacional;;De 60 a 64 años;Total;2021;4,036
Total Nacional;;De 60 a 64 años;Total;2020;3,000
Total Nacional;;De 60 a 64 años;Total;2019;4,261
Total Nacional;;De 60 a 64 años;Total;2018;3,589
Total Nacional;;De 60 a 64 años;Hombres;2021;6,629
Total Nacional;;De 60 a 64 años;Hombres;2020;5,416
Total Nacional;;De 60 a 64 años;Hombres;2019;7,703
Total Nacional;;De 60 a 64 años;Hombres;2018;5,753
Total Nacional;;De 60 a 64 años;Mujeres;2021;1,593
Total Nacional;;De 60 a 64 años;Mujeres;2020;0,720
Total Nacional;;De 60 a 64 años;Mujeres;2019;1,018
Total Nacional;;De 60 a 64 años;Mujeres;2018;1,549
Total Nacional;;De 65 a 69 años;Total;2021;3,502
Total Nacional;;De 65 a 69 años;Total;2020;3,171
Total Nacional;;De 65 a 69 años;Total;2019;4,465
Total Nacional;;De 65 a 69 años;Total;2018;5,032
Total Nacional;;De 65 a 69 años;Hombres;2021;5,348
Total Nacional;;De 65 a 69 años;Hombres;2020;5,285
Total Nacional;;De 65 a 69 años;Hombres;2019;6,500
Total Nacional;;De 65 a 69 años;Hombres;2018;7,674
Total Nacional;;De 65 a 69 años;Mujeres;2021;1,824
Total Nacional;;De 65 a 69 años;Mujeres;2020;1,243
Total Nacional;;De 65 a 69 años;Mujeres;2019;2,609
Total Nacional;;De 65 a 69 años;Mujeres;2018;2,624
Total Nacional;;De 70 a 74 años;Total;2021;3,298
Total Nacional;;De 70 a 74 años;Total;2020;3,201
Total Nacional;;De 70 a 74 años;Total;2019;4,172
Total Nacional;;De 70 a 74 años;Total;2018;5,614
Total Nacional;;De 70 a 74 años;Hombres;2021;4,885
Total Nacional;;De 70 a 74 años;Hombres;2020;5,168
Total Nacional;;De 70 a 74 años;Hombres;2019;6,178
Total Nacional;;De 70 a 74 años;Hombres;2018;7,728
Total Nacional;;De 70 a 74 años;Mujeres;2021;1,933
Total Nacional;;De 70 a 74 años;Mujeres;2020;1,509
Total Nacional;;De 70 a 74 años;Mujeres;2019;2,446
Total Nacional;;De 70 a 74 años;Mujeres;2018;3,797
Total Nacional;;De 75 a 79 años;Total;2021;4,988
Total Nacional;;De 75 a 79 años;Total;2020;5,203
Total Nacional;;De 75 a 79 años;Total;2019;6,196
Total Nacional;;De 75 a 79 años;Total;2018;6,762
Total Nacional;;De 75 a 79 años;Hombres;2021;7,506
Total Nacional;;De 75 a 79 años;Hombres;2020;7,770
Total Nacional;;De 75 a 79 años;Hombres;2019;8,779
Total Nacional;;De 75 a 79 años;Hombres;2018;11,149
Total Nacional;;De 75 a 79 años;Mujeres;2021;2,985
Total Nacional;;De 75 a 79 años;Mujeres;2020;3,153
Total Nacional;;De 75 a 79 años;Mujeres;2019;4,137
Total Nacional;;De 75 a 79 años;Mujeres;2018;3,285
Total Nacional;;De 80 a 84 años;Total;2021;5,497
Total Nacional;;De 80 a 84 años;Total;2020;5,418
Total Nacional;;De 80 a 84 años;Total;2019;9,697
Total Nacional;;De 80 a 84 años;Total;2018;8,283
Total Nacional;;De 80 a 84 años;Hombres;2021;9,621
Total Nacional;;De 80 a 84 años;Hombres;2020;9,515
Total Nacional;;De 80 a 84 años;Hombres;2019;16,251
Total Nacional;;De 80 a 84 años;Hombres;2018;13,689
Total Nacional;;De 80 a 84 años;Mujeres;2021;2,653
Total Nacional;;De 80 a 84 años;Mujeres;2020;2,610
Total Nacional;;De 80 a 84 años;Mujeres;2019;5,225
Total Nacional;;De 80 a 84 años;Mujeres;2018;4,601
Total Nacional;;De 85 a 89 años;Total;2021;5,321
Total Nacional;;De 85 a 89 años;Total;2020;6,638
Total Nacional;;De 85 a 89 años;Total;2019;9,917
Total Nacional;;De 85 a 89 años;Total;2018;9,139
Total Nacional;;De 85 a 89 años;Hombres;2021;8,276
Total Nacional;;De 85 a 89 años;Hombres;2020;13,432
Total Nacional;;De 85 a 89 años;Hombres;2019;16,615
Total Nacional;;De 85 a 89 años;Hombres;2018;15,153
Total Nacional;;De 85 a 89 años;Mujeres;2021;3,631
Total Nacional;;De 85 a 89 años;Mujeres;2020;2,701
Total Nacional;;De 85 a 89 años;Mujeres;2019;6,060
Total Nacional;;De 85 a 89 años;Mujeres;2018;5,708
Total Nacional;;De 90 a 94 años;Total;2021;2,857
Total Nacional;;De 90 a 94 años;Total;2020;4,077
